category,concept_en,instance_English,instance_German,instance_Spanish,norm_rating_English,norm_rating_German,norm_rating_Spanish,n_languages,in_multiple_languages
animal,ANT,ant,Ameise,Hormiga,0.3086615877209107,0.6305555555555556,0.5211267605633804,3,True
animal,BEE,bee,Biene,Abeja,0.30942204186147027,0.711111111111111,0.5211267605633804,3,True
animal,BUTTERFLY,butterfly,Schmetterling,Mariposa,0.29817247717575124,0.7466666666666667,0.5070422535211268,3,True
animal,CROW,crow,Krähe,Cuervo,0.4993096416301263,0.8205555555555556,0.3943661971830986,3,True
animal,DUCK,duck,Ente,Pato,0.7726080064800518,0.9366666666666666,0.8309859154929577,3,True
animal,EAGLE,eagle,Adler,Águila,0.6442874070257191,0.8522222222222222,0.619718309859155,3,True
animal,FROG,frog,Frosch,Rana,0.6440383543921642,0.7572222222222224,0.6126760563380281,3,True
animal,HUMMINGBIRD,hummingbird,Kolibri,Colibrí,0.40038075232993403,0.5777777777777781,0.17605633802816897,3,True
animal,IGUANA,iguana,Leguan,Iguana,0.40254161041433784,0.4604938271604931,0.4225352112676057,3,True
animal,LIZARD,lizard,Eidechse,Lagartija,0.5412056386874524,0.5355555555555557,0.47887323943661975,3,True
animal,OWL,owl,Eule,Búho,0.625006727446907,0.7255555555555556,0.4577464788732394,3,True
animal,PARROT,parrot,Papagei,Loro,0.58589066015091,0.7361111111111112,0.6901408450704225,3,True
animal,SEAGULL,seagull,Möwe,Gaviota,0.4028067610490418,0.883888888888889,0.528169014084507,3,True
animal,SNAKE,snake,Schlange,Culebra,0.5795917765283662,0.7255555555555556,0.4436619718309859,3,True
animal,SPIDER,spider,Spinne,Araña,0.3400951890262395,0.6833333333333335,0.4647887323943662,3,True
animal,VULTURE,vulture,Geier,Buitre,0.35434369818620054,0.6666666666666675,0.4014084507042254,3,True
animal,WASP,wasp,Wespe,Avispa,0.1982953071016291,0.5333333333333343,0.4014084507042254,3,True
animal,WORM,worm,Wurm,Gusano,0.24634768087673398,0.4666666666666678,0.3169014084507042,3,True
animal,BEETLE,beetle,Käfer,,0.2304961936513124,0.5555555555555552,,2,True
animal,BIRD,bird,,Pájaro,0.8294408879850962,,0.8450704225352114,2,True
animal,COCKROACH,cockroach,,Cucaracha,0.20166983413595466,,0.2605633802816901,2,True
animal,DRAGONFLY,dragonfly,Libelle,,0.15983417192204843,0.4555555555555563,,2,True
animal,FLAMINGO,flamingo,Flamingo,,0.4640633290407787,0.5461111111111112,,2,True
animal,GRASSHOPPER,grasshopper,,Saltamontes,0.2536875378979509,,0.38028169014084506,2,True
animal,HAWK,hawk,Falke,,0.5278401486855465,0.693888888888889,,2,True
animal,LADYBUG,ladybug,Marienkäfer,,0.20904749615064866,0.6411111111111112,,2,True
animal,MOSQUITO,mosquito,,Mosquito,0.13623929491713158,,0.3661971830985915,2,True
